"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms"
"2025-11-13 13:05:15","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","170","True","66","Aceitável","*","0","*","0","*","0","*","0","*","0","*","0","108.170.235.138","23","209.85.249.16","17","192.178.84.59","19","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","",""
"2025-11-13 13:24:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","51","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","20","200.189.213.6","16","8.243.145.162","15","*","0","108.170.229.40","17","192.178.240.99","18","216.239.62.45","19","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:27:00","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","55","True","100","Excelente","10.50.112.1","3","*","0","201.61.35.194","4","*","0","*","0","*","0","108.170.248.6","5","216.239.59.18","4","172.217.172.142","4","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:30:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","17","*","0","8.243.145.162","16","*","0","192.178.110.188","24","192.178.240.101","21","172.217.29.78","17","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:33:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","15","165.225.214.3","13","8.243.34.13","16","*","0","8.243.145.162","15","*","0","142.250.237.128","22","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:35:21","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","79","True","100","Excelente","165.225.214.105","7","165.225.214.3","6","8.243.34.13","8","*","0","8.243.145.162","7","*","0","192.178.110.242","9","216.239.56.208","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:36:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","29","True","100","Excelente","165.225.214.99","17","165.225.214.3","14","8.243.34.13","15","*","0","8.243.145.162","15","*","0","192.178.253.76","19","142.251.252.158","17","216.239.62.45","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:36:41","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","65","True","100","Excelente","10.50.112.1","7","*","0","201.61.35.194","6","*","0","74.125.52.64","6","209.85.143.231","7","172.253.53.123","6","172.217.30.238","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:39:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","32","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","7","*","0","74.125.52.64","10","142.251.228.185","10","172.253.53.123","9","172.217.30.238","7","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:42:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","22","True","100","Excelente","165.225.214.99","21","165.225.214.3","13","8.243.34.13","14","*","0","8.243.145.162","17","*","0","172.253.53.122","21","192.178.240.99","16","192.178.84.181","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:45:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","20","True","100","Excelente","165.225.214.99","16","165.225.214.3","48","8.243.34.13","15","*","0","8.243.145.162","14","*","0","192.178.253.78","57","142.251.255.6","17","172.217.29.78","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:47:15","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","205","True","59","Aceitável","10.50.112.1","7","*","0","201.61.35.194","38","*","0","*","0","*","0","142.250.238.248","8","172.253.53.125","12","209.85.251.83","9","172.217.172.142","8","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:48:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","39","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","23","*","0","*","0","*","0","108.170.248.12","34","192.178.84.178","19","172.217.172.142","7","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:49:39","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","59","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","4","*","0","*","0","*","0","142.250.230.116","31","172.253.53.125","4","142.251.255.13","5","172.217.172.142","46","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:51:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","36","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","8","*","0","*","0","*","0","108.170.232.146","18","172.217.172.142","8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:54:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","73","True","100","Excelente","10.50.112.1","7","*","0","201.61.35.194","26","*","0","*","0","*","0","192.178.110.180","10","192.178.84.54","9","172.217.162.14","9","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:57:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","36","True","100","Excelente","10.50.112.1","7","*","0","201.61.35.194","7","*","0","*","0","*","0","192.178.253.66","8","192.178.253.79","7","209.85.253.1","7","172.217.162.14","6","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:00:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","70","True","100","Excelente","10.50.112.1","7","*","0","201.61.35.194","57","*","0","*","0","*","0","172.253.53.124","27","192.178.253.73","11","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:03:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","24","True","100","Excelente","165.225.214.99","14","165.225.214.3","14","8.243.34.13","14","*","0","8.243.145.162","19","*","0","74.125.253.158","19","192.178.240.101","19","172.217.29.78","16","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:06:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","35","True","100","Excelente","10.50.112.1","7","*","0","201.61.35.194","9","*","0","74.125.52.64","10","142.251.228.185","16","142.250.230.117","16","172.217.30.110","17","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:07:08","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","167","True","67","Aceitável","*","0","*","0","201.6.72.9","25","201.6.64.196","21","*","0","*","0","209.85.245.66","18","192.178.110.181","21","172.217.30.46","18","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:09:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","36","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","16","*","0","8.243.145.162","16","*","0","192.178.110.188","17","209.85.251.82","15","172.217.29.78","15","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:12:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","29","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","14","*","0","8.243.145.162","16","*","0","192.178.253.80","23","192.178.240.99","16","216.239.56.209","16","172.217.29.78","24","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:15:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","18","True","100","Excelente","165.225.214.99","14","165.225.214.3","15","8.243.34.13","25","*","0","8.243.145.162","18","*","0","142.250.208.12","14","192.178.240.99","15","216.239.62.45","15","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:18:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","23","True","100","Excelente","165.225.214.99","18","165.225.214.3","17","8.243.34.13","15","*","0","8.243.145.162","14","*","0","108.170.248.4","18","209.85.254.58","17","192.178.84.179","18","172.217.29.78","15","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:19:35","rafaelsantana-MacBook-Air","rafaelsantana","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","68","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","4","*","0","74.125.52.64","4","192.178.82.55","5","192.178.110.177","4","172.217.29.238","4","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:21:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","21","True","100","Excelente","165.225.214.99","14","165.225.214.3","14","8.243.34.13","15","200.189.212.154","15","8.243.145.162","14","*","0","172.217.29.78","16","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:24:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","32","True","100","Excelente","165.225.214.99","14","165.225.214.3","16","8.243.34.13","15","*","0","8.243.145.162","17","*","0","108.170.229.40","16","209.85.253.0","15","216.239.56.209","15","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:24:09","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","98","True","100","Excelente","10.50.112.1","14","*","0","201.61.35.194","109","*","0","74.125.52.64","15","192.178.82.55","16","192.178.110.169","14","172.217.29.142","14","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-13 13:39:13","ARCO-C02HD02FQ05F","lucas.silva","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","39","True","100","Excelente","165.225.214.105","6","165.225.214.3","6","8.243.34.13","10","*","0","*","0","*","0","*","0","*","0","*traceroute:","0","traceroute:","0","traceroute:","0","172.217.30.238","19","","","","","","","","","","","","","","","","","",""
"2025-11-13 14:27:00","ARCO-FVFFR5RHQ05G","kathleenmilen","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","147","True","71","Bom","10.50.112.1","16","*","0","201.61.35.194","6","*","0","74.125.52.64","21","192.178.82.55","17","192.178.110.171","14","172.217.29.142","16","","","","","","","","","","","","","","","","","","","","","","","","","",""
