"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms"
"2025-11-05 03:30:50","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","77","True","100","Excelente","165.225.214.99","21","165.225.214.3","25","8.243.34.13","32","200.189.213.6","24","8.243.145.162","21","*","0","142.251.48.34","23","142.250.230.117","20","142.251.255.13","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:33:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","104","True","80","Bom","10.50.112.1","10","*","0","201.61.35.194","175","*","0","*","0","*","0","192.178.110.202","20","192.178.84.180","9","172.217.162.238","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:36:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","94","True","100","Excelente","10.50.112.1","9","*","0","201.61.35.194","15","*","0","74.125.52.64","15","142.251.228.185","19","142.250.208.13","29","172.217.28.206","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:39:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","190","True","62","Aceitável","10.50.112.1","15","*","0","201.61.35.194","25","*","0","74.125.52.64","18","209.85.143.231","15","142.251.79.107","27","172.217.28.206","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:10:29","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","106","True","79","Bom","165.225.214.105","17","165.225.214.3","24","8.243.34.13","27","200.189.213.6","17","8.243.145.162","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","",""
"2025-11-05 03:42:34","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","82","True","100","Excelente","165.225.214.105","19","165.225.214.3","18","8.243.34.13","22","200.189.213.6","56","8.243.145.162","56","*","0","192.178.240.98","24","192.178.84.54","21","142.251.255.7","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:45:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","82","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","11","*","0","*","0","*","0","108.170.235.138","6","172.253.53.125","5","209.85.251.83","7","172.217.172.142","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:48:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","48","True","100","Excelente","10.50.112.1","9","*","0","201.61.35.194","18","*","0","*","0","*","0","192.178.240.100","10","216.239.56.208","13","172.217.172.142","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:51:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","52","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","19","*","0","*","0","*","0","142.250.237.130","11","172.253.53.127","7","142.251.255.7","12","172.217.172.142","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-05 03:54:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","51","True","100","Excelente","10.50.112.1","9","*","0","201.61.35.194","13","*","0","*","0","*","0","142.250.237.128","15","172.253.53.127","16","209.85.249.17","24","172.217.172.142","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
