"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms","Hop_26_IP","Hop_26_Latency_ms"
"2025-11-01 08:48:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","90","True","100","Excelente","192.168.1.1","300283","100.64.0.1","58","172.16.30.1","21","45.189.68.5","22","172.17.16.17","12","172.17.1.74","9","*","0","*","0","209.85.252.160","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 09:14:37","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","204","True","60","Aceitável","165.225.214.105","21","165.225.214.3","19","8.243.34.13","26","*","0","8.243.145.162","19","*","0","192.178.240.98","21","108.170.238.181","15","172.217.30.142","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 09:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","227","True","55","Aceitável","165.225.214.105","17","165.225.214.3","19","8.243.34.13","27","200.189.212.154","23","8.243.145.162","19","*","0","192.178.240.98","21","142.250.238.249","25","172.217.30.142","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 09:40:50","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","70","True","100","Excelente","10.0.0.1","11","192.168.0.1","16","10.39.124.1","13","201.6.72.97","16","201.6.64.212","26","201.6.65.228","25","*","0","*","0","209.85.244.60","17","192.178.253.81","13","142.251.255.53","18","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","",""
"2025-11-01 10:09:40","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","81","True","100","Excelente","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","192.178.110.178","18","*","0","209.85.253.1","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","",""
"2025-11-01 10:43:51","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","111","True","78","Bom","165.225.214.99","18","165.225.214.3","17","8.243.34.13","28","200.189.212.154","20","8.243.145.162","17","*","0","142.250.58.138","20","192.178.84.54","18","172.217.172.174","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 10:31:38","ISAAC-NYK799D6XT","viniciussantos1","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","430","True","14","Ruim","192.168.0.1","9","10.35.60.1","20","201.6.72.9","30","201.6.64.196","28","*","0","*","0","74.125.37.134","21","108.170.238.181","22","*","0","142.250.238.249","24","*","0","*","0","*","0","*","0","*","0","*","0","*","0","172.217.30.142","36","","","","","","","","","","","","","","","",""
"2025-11-01 10:33:50","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","45.189.70.37","Speed JET Telecom Ltda","45.189.70.37","meet.google.com","621","True","0","Ruim","192.168.1.1","4","100.64.0.1","12","172.16.30.1","14","45.189.68.5","8","172.17.16.17","17","172.17.1.74","19","*","0","*","0","192.178.240.76","10","192.178.253.71","7","172.217.162.174","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:10:15","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","75","True","100","Excelente","165.225.214.99","21","165.225.214.3","133","8.243.34.13","16","200.189.212.154","19","8.243.145.162","35","*","0","192.178.253.76","33","192.178.84.180","21","172.217.172.174","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 10:48:13","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","294","True","42","Ruim","165.225.214.105","16","165.225.214.3","17","8.243.34.13","15","200.189.212.154","19","8.243.145.162","17","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-11-01 11:17:33","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","172","True","66","Aceitável","165.225.214.105","17","165.225.214.3","17","8.243.34.13","25","200.189.212.154","22","8.243.145.162","19","*","0","142.251.196.190","23","108.170.238.181","30","209.85.254.59","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:18:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","23","True","100","Excelente","165.225.214.105","18","165.225.214.3","18","8.243.34.13","24","200.189.212.154","18","8.243.145.162","18","*","0","192.178.240.100","19","108.170.238.181","28","142.251.255.53","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:21:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","28","True","100","Excelente","165.225.214.105","18","165.225.214.3","19","8.243.34.13","19","*","0","8.243.145.162","18","*","0","192.178.253.80","19","142.250.238.249","19","142.251.255.13","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:24:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","107","True","79","Bom","165.225.214.105","23","165.225.214.3","22","8.243.34.13","26","200.189.213.6","23","8.243.145.162","22","*","0","172.253.78.32","27","142.251.255.12","20","192.178.84.179","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:27:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","69","True","100","Excelente","165.225.214.105","17","165.225.214.3","18","8.243.34.13","18","200.189.213.6","15","8.243.145.162","17","*","0","108.170.231.64","21","192.178.110.171","17","172.217.29.142","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-01 11:30:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","147","True","71","Bom","165.225.214.105","23","165.225.214.3","18","8.243.34.13","18","200.189.213.6","31","8.243.145.162","17","*","0","192.178.240.100","38","216.239.56.208","25","142.251.255.13","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
