"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms"
"2025-11-13 04:06:12","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","7","True","100","Excelente","192.168.1.1","1","100.120.32.77","5","100.120.31.153","10","100.120.26.35","13","72.14.198.152","14","142.251.69.137","13"
"2025-11-13 04:12:19","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","19","True","100","Excelente","192.168.1.1","1","100.120.32.77","4","100.120.31.153","10","100.120.26.35","11","72.14.198.152","11","142.251.69.137","14"
"2025-11-13 04:22:20","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","169","True","66","Aceitável","192.168.1.1","2","100.120.32.77","4","100.120.31.153","14","100.120.26.35","13","72.14.198.152","11","142.251.69.137","13"
"2025-11-13 04:22:20","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","181","True","64","Aceitável",,,"100.120.32.77","5","100.120.31.153","25","100.120.26.35","14","72.14.198.152","13","142.251.69.137","12"
"2025-11-13 04:33:50","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","6","True","100","Excelente","192.168.1.1","1","100.120.32.77","21","100.120.19.57","13","100.120.25.64","10","201.10.242.247","13","209.85.244.163","13"
"2025-11-13 04:42:21","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","837","True","0","Ruim","165.225.214.98","11","100.120.32.77","4","100.120.31.153","10","100.120.26.35","12","72.14.198.152","13","142.251.69.137","14"
"2025-11-13 05:02:33","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","31","True","100","Excelente","165.225.214.98","12","8.243.34.13","10","8.243.145.162","15","172.253.50.119","11","142.250.237.129","16","142.251.134.174","10"
"2025-11-13 05:02:39","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","20","True","100","Excelente","165.225.214.98","9","8.243.34.13","26","8.243.145.162","13","172.253.50.119","9","142.250.237.129","10","142.251.134.174","15"
"2025-11-13 05:03:48","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","21","True","100","Excelente","165.225.214.98","11","8.243.34.13","12","8.243.145.162","10","172.253.50.119","14","142.250.237.129","20","142.251.134.174","15"
"2025-11-13 05:12:20","ARCO-PE0DQH5A","danielcruz","São João da Barra","RJ","165.225.214.98","ZSCALER, INC.","165.225.214.98","meet.google.com","16","True","100","Excelente","165.225.214.98","10","8.243.34.13","14","8.243.145.162","11","172.253.50.119","10","142.250.237.129","12","142.251.134.174","10"
"2025-11-13 05:22:20","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","834","True","0","Ruim","192.168.1.1","1","100.120.32.77","4","100.120.31.153","14","100.120.26.35","12","72.14.198.152","12","142.251.69.137","11"
