"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms","Hop_17_IP","Hop_17_Latency_ms","Hop_18_IP","Hop_18_Latency_ms","Hop_19_IP","Hop_19_Latency_ms","Hop_20_IP","Hop_20_Latency_ms","Hop_21_IP","Hop_21_Latency_ms","Hop_22_IP","Hop_22_Latency_ms","Hop_23_IP","Hop_23_Latency_ms","Hop_24_IP","Hop_24_Latency_ms","Hop_25_IP","Hop_25_Latency_ms","Hop_26_IP","Hop_26_Latency_ms","Hop_27_IP","Hop_27_Latency_ms","Hop_28_IP","Hop_28_Latency_ms"
"2025-11-04 00:33:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","25","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","16","*","0","*","0","*","0","192.178.253.82","7","172.253.53.125","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:36:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","79","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","31","*","0","74.125.52.64","9","209.85.143.231","6","142.250.230.117","5","172.217.30.110","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:39:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","27","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","6","*","0","74.125.52.64","6","209.85.143.231","5","142.250.230.117","5","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:42:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","80","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","24","*","0","74.125.52.64","6","209.85.143.231","7","142.250.237.131","6","172.217.30.110","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:45:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","171","True","66","Aceitável","10.50.112.1","4","*","0","201.61.35.194","47","*","0","*","0","*","0","209.85.245.66","13","192.178.84.54","7","172.217.172.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:47:29","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","101","True","80","Bom","165.225.214.105","27","165.225.214.3","27","8.243.34.13","30","*","0","8.243.145.162","20","*","0","142.251.48.34","18","192.178.110.189","17","172.217.29.206","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:48:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","28","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","8","*","0","*","0","*","0","209.85.245.66","7","192.178.84.54","6","172.217.172.142","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:48:07","ARCO-C02FC050Q05G","guilherme.gomes","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","197","True","61","Aceitável","*","0","10.39.124.1","11","201.6.72.97","12","201.6.64.212","13","201.6.65.228","12","*","0","*","0","192.178.253.68","15","142.251.255.6","18","*","0","192.178.110.191","15","*","0","*","0","*","0","*","0","*","0","*","0","*","0","*","0","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:51:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","69","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","10","*","0","74.125.52.64","7","192.178.82.55","8","192.178.110.173","5","172.217.30.14","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:54:00","ARCO-C02FC050Q05G","guilherme.gomes","Bragança Paulista","SP","165.225.214.99","ZSCALER, INC.","165.225.214.99","meet.google.com","21","True","100","Excelente","165.225.214.99","15","165.225.214.3","14","8.243.34.13","18","*","0","8.243.145.162","28","*","0","192.178.253.82","20","209.85.251.82","16","172.217.29.206","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:54:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","105","True","79","Bom","10.50.112.1","4","*","0","201.61.35.194","10","*","0","*","0","*","0","172.253.53.126","17","209.85.254.58","7","192.178.84.179","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 00:57:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","71","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","5","*","0","74.125.52.64","5","192.178.82.55","6","192.178.110.177","6","172.217.29.238","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:00:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","72","True","100","Excelente","10.50.112.1","5","*","0","201.61.35.194","6","*","0","74.125.52.64","5","142.250.63.175","6","192.178.110.179","5","172.217.29.238","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-11-04 01:03:00","ARCO-C02HD02FQ05F","lucas.silva","São Paulo","SP","187.50.255.82","Vivo","187.50.255.82","meet.google.com","74","True","100","Excelente","10.50.112.1","4","*","0","201.61.35.194","6","*","0","74.125.52.64","8","209.85.143.231","5","108.170.232.147","6","172.217.28.142","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
