"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms"
"2025-11-06 01:18:11","ARCO-PE0DQH5A","danielcruz","Curitiba","PR","200.103.129.125","V tal","200.103.129.125","meet.google.com","22","True","100","Excelente",,,"100.120.32.77","4","100.120.25.221","4","100.120.26.35","15","72.14.198.152","11","142.251.69.137","35","209.85.244.85","20","142.250.219.206","13",,,,
"2025-11-06 01:21:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","69","True","100","Excelente","10.13.0.1","8","177.195.26.9","20","200.249.20.229","7","200.244.211.235","67","200.244.18.8","66","201.39.52.58","66","142.250.214.91","68","142.251.245.47","69","142.250.219.14","69",,
"2025-11-06 01:24:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","69","True","100","Excelente","10.13.0.1","7","177.195.26.9","9","200.249.20.229","8","200.244.211.235","68","200.244.18.8","66","201.39.52.58","65","142.250.214.91","67","142.251.245.47","69","142.250.219.14","70",,
"2025-11-06 01:27:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","77","True","100","Excelente","10.13.0.1","7","177.195.26.9","57","200.179.185.5","7","200.244.80.14","29","200.244.211.235","81","200.244.18.8","83","201.39.52.58","74","142.250.214.91","65","142.251.48.163","67","142.250.218.238","67"
"2025-11-06 01:30:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","68","True","100","Excelente","10.13.0.1","8","177.195.26.9","8","200.179.185.5","8","200.244.80.14","18","200.244.211.235","65","200.244.18.8","65","201.39.52.58","64","142.250.214.91","66","142.251.48.163","68","142.250.218.238","68"
"2025-11-06 01:33:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","77","True","100","Excelente","10.13.0.1","8","177.195.26.9","19","200.179.185.9","7","200.244.80.14","18","200.244.211.235","64","200.244.18.8","63","201.39.52.58","62","142.250.214.91","64","142.251.48.147","66","142.250.78.174","66"
"2025-11-06 01:36:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","74","True","100","Excelente","10.13.0.1","7","177.195.26.9","8","200.179.185.5","7","200.244.80.14","18","200.244.211.235","66","200.244.18.8","65","201.39.52.58","63","142.250.214.91","66","142.251.48.163","69","142.250.218.238","68"
"2025-11-06 01:39:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","77","True","100","Excelente","10.13.0.1","9","177.195.26.9","12","200.179.185.5","8","200.244.80.14","18","200.244.211.235","65","200.244.18.8","65","201.39.52.58","64","142.250.214.91","66","142.251.48.163","68","142.250.218.238","68"
"2025-11-06 01:42:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","95","True","67","Aceitável","10.13.0.1","16","177.195.26.9","22","200.179.185.5","8","200.244.80.14","29","200.244.211.235","91","200.244.18.8","72","201.39.52.58","77","142.250.214.91","72","142.251.48.163","73","142.250.218.238","77"
"2025-11-06 01:45:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","81","True","100","Excelente","10.13.0.1","19","177.195.26.9","33","200.249.20.249","14","200.244.80.14","23","200.244.211.235","70","200.244.18.8","66","201.39.52.58","67","142.250.214.29","67","216.239.42.205","70","172.217.162.206","67"
"2025-11-06 01:48:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","73","True","100","Excelente","10.13.0.1","13","177.195.26.9","9","200.249.20.249","13","200.244.80.14","34","200.244.211.235","74","200.244.18.8","70","201.39.52.58","69","142.250.214.29","69","216.239.42.205","77","172.217.162.206","67"
"2025-11-06 01:51:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","76","True","70","Bom","10.13.0.1","13","177.195.26.9","17","200.179.185.9","17","200.244.80.14","31","200.244.211.235","73","200.244.18.8","75","201.39.52.58","81","142.250.214.91","70","142.251.48.147","98","142.250.78.174","71"
"2025-11-06 01:51:43","ARCO-PE0DQH5A","danielcruz","Desconhecida","ND","0.0.0.0","Desconhecido","0.0.0.0","meet.google.com","43","True","100","Excelente","165.225.214.3","34","8.243.34.13","36","200.189.213.6","39","142.250.232.127","38","209.85.244.85","107","142.251.69.137","44","209.85.244.85","35","142.250.219.206","15",,,,
"2025-11-06 01:54:00","ARCO-PE0DH2GL","lucasdantas","Natal","RN","179.156.58.214","Claro NXT Telecomunicacoes Ltda","179.156.58.214","meet.google.com","100","True","68","Aceitável","10.13.0.1","25","177.195.26.9","10","200.179.185.9","11","200.244.80.14","22","200.244.211.235","68","200.244.18.8","100","201.39.52.58","66","142.250.214.91","78","142.251.48.147","67","142.250.78.174","74"
