"Timestamp","Hostname","UserLogged","Cidade","Estado","IP_Publico","Provedor","LocalIP","TargetHost","TCP_Latency_ms","TCP_Status","Connection_Health_Score","Connection_Health_Status","Hop_1_IP","Hop_1_Latency_ms","Hop_2_IP","Hop_2_Latency_ms","Hop_3_IP","Hop_3_Latency_ms","Hop_4_IP","Hop_4_Latency_ms","Hop_5_IP","Hop_5_Latency_ms","Hop_6_IP","Hop_6_Latency_ms","Hop_7_IP","Hop_7_Latency_ms","Hop_8_IP","Hop_8_Latency_ms","Hop_9_IP","Hop_9_Latency_ms","Hop_10_IP","Hop_10_Latency_ms","Hop_11_IP","Hop_11_Latency_ms","Hop_12_IP","Hop_12_Latency_ms","Hop_13_IP","Hop_13_Latency_ms","Hop_14_IP","Hop_14_Latency_ms","Hop_15_IP","Hop_15_Latency_ms","Hop_16_IP","Hop_16_Latency_ms"
"2025-10-28 12:06:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","32","True","100","Excelente","165.225.214.105","17","165.225.214.3","17","8.243.34.13","16","200.189.213.6","18","8.243.145.162","18","*","0","192.178.253.82","24","192.178.253.79","16","209.85.249.17","16","","","","","","","","","","","","","",""
"2025-10-28 12:09:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","41","True","100","Excelente","165.225.214.105","20","165.225.214.3","18","8.243.34.13","22","*","0","8.243.145.162","23","*","0","142.250.230.116","19","216.239.59.18","20","172.217.162.14","19","","","","","","","","","","","","","",""
"2025-10-28 12:12:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","238","True","53","Aceitável","165.225.214.105","23","165.225.214.3","16","8.243.34.13","24","*","0","8.243.145.162","17","*","0","108.170.248.6","24","192.178.84.180","18","209.85.251.83","22","","","","","","","","","","","","","",""
"2025-10-28 12:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","39","True","100","Excelente","165.225.214.105","19","165.225.214.3","16","8.243.34.13","17","200.189.213.6","18","8.243.145.162","17","*","0","172.217.162.14","17","","","","","","","","","","","","","","","","","",""
"2025-10-28 12:42:18","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","64","True","100","Excelente","165.225.214.105","16","165.225.214.3","15","8.243.34.13","19","*","0","8.243.145.162","20","*","0","192.178.110.240","25","142.251.255.12","28","142.250.78.142","16","","","","","","","","","","","","","",""
"2025-10-28 12:45:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","16","True","100","Excelente","165.225.214.105","19","165.225.214.3","18","8.243.34.13","19","*","0","8.243.145.162","20","*","0","108.170.248.212","25","142.251.255.52","23","192.178.84.179","40","","","","","","","","","","","","","",""
"2025-10-28 12:48:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","15","True","100","Excelente","165.225.214.105","21","165.225.214.3","14","8.243.34.13","20","*","0","8.243.145.162","17","*","0","142.250.237.128","23","209.85.254.58","19","142.250.78.142","17","","","","","","","","","","","","","",""
"2025-10-28 13:05:57","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","79","True","100","Excelente","192.168.0.1","5","10.35.60.1","16","201.6.72.9","18","201.6.64.196","18","*","0","*","0","142.251.79.106","13","192.178.253.79","21","*","0","192.178.253.77","19","*","0","*","0","*","0","","","","","",""
"2025-10-28 13:54:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","23","True","100","Excelente","192.168.0.1","7","10.35.60.1","17","201.6.72.9","22","201.6.64.196","20","*","0","*","0","74.125.242.190","16","142.250.238.249","20","*","0","108.170.238.181","17","*","0","*","0","*","0","*","0","*","0","*","0"
"2025-10-28 14:00:07","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","68","True","100","Excelente","165.225.214.105","19","165.225.214.3","25","8.243.34.13","20","200.189.212.154","27","8.243.145.162","19","*","0","108.170.248.212","21","209.85.253.0","32","192.178.84.181","19","","","","","","","","","","","","","",""
"2025-10-28 14:03:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","21","True","100","Excelente","165.225.214.105","16","165.225.214.3","17","8.243.34.13","19","200.189.212.154","24","8.243.145.162","18","*","0","192.178.110.172","25","172.217.30.78","18","","","","","","","","","","","","","","","",""
"2025-10-28 14:06:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","27","True","100","Excelente","165.225.214.105","16","165.225.214.3","17","8.243.34.13","23","*","0","8.243.145.162","26","*","0","192.178.253.80","30","142.251.252.158","23","192.178.84.59","22","192.178.110.203","20","172.217.30.78","18","","","","","","","","","",""
"2025-10-28 14:09:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","88","True","100","Excelente","165.225.214.105","30","165.225.214.3","16","8.243.34.13","25","*","0","8.243.145.162","18","*","0","192.178.253.78","17","192.178.110.183","26","172.217.30.46","18","","","","","","","","","","","","","",""
"2025-10-28 14:12:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","22","True","100","Excelente","165.225.214.105","20","165.225.214.3","18","8.243.34.13","24","200.189.213.6","20","8.243.145.162","18","*","0","192.178.240.74","17","192.178.110.181","20","216.239.59.19","24","","","","","","","","","","","","","",""
"2025-10-28 14:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","81","True","100","Excelente","165.225.214.105","27","165.225.214.3","24","8.243.34.13","23","*","0","8.243.145.162","18","*","0","192.178.110.188","18","192.178.110.181","21","192.178.84.179","17","192.178.110.183","16","","","","","","","","","","","",""
"2025-10-28 14:18:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","173","True","66","Aceitável","165.225.214.105","18","165.225.214.3","18","8.243.34.13","24","200.189.212.154","43","8.243.145.162","18","*","0","192.178.110.168","30","192.178.253.75","20","172.217.172.46","21","","","","","","","","","","","","","",""
"2025-10-28 14:21:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","21","True","100","Excelente","165.225.214.105","18","165.225.214.3","15","8.243.34.13","18","*","0","8.243.145.162","21","*","0","192.178.253.64","44","192.178.253.73","17","209.85.253.1","18","","","","","","","","","","","","","",""
"2025-10-28 14:24:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","86","True","100","Excelente","165.225.214.105","22","165.225.214.3","21","8.243.34.13","21","200.189.212.154","20","8.243.145.162","44","*","0","192.178.110.202","23","192.178.253.75","21","172.217.172.46","24","","","","","","","","","","","","","",""
"2025-10-28 14:27:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","102","True","80","Bom","165.225.214.105","32","165.225.214.3","23","8.243.34.13","37","200.189.212.154","39","8.243.145.162","25","*","0","192.178.110.172","17","192.178.110.177","35","192.178.84.179","24","","","","","","","","","","","","","",""
"2025-10-28 14:30:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","17","True","100","Excelente","165.225.214.105","20","165.225.214.3","20","8.243.34.13","22","*","0","8.243.145.162","17","*","0","192.178.110.188","20","192.178.110.177","16","192.178.84.55","20","","","","","","","","","","","","","",""
"2025-10-28 14:33:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","68","True","100","Excelente","165.225.214.105","17","165.225.214.3","24","8.243.34.13","20","*","0","8.243.145.162","29","*","0","192.178.105.220","66","192.178.84.58","18","142.251.255.13","17","","","","","","","","","","","","","",""
"2025-10-28 14:36:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","140","True","72","Bom","165.225.214.105","36","165.225.214.3","30","8.243.34.13","23","*","0","8.243.145.162","22","*","0","142.250.238.248","44","209.85.251.82","21","192.178.84.59","42","","","","","","","","","","","","","",""
"2025-10-28 14:39:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","31","True","100","Excelente","165.225.214.105","19","165.225.214.3","21","8.243.34.13","18","*","0","8.243.145.162","29","*","0","108.170.248.6","17","192.178.240.75","16","142.250.78.110","17","","","","","","","","","","","","","",""
"2025-10-28 14:42:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","79","True","100","Excelente","165.225.214.105","22","165.225.214.3","22","8.243.34.13","18","*","0","8.243.145.162","35","*","0","142.251.196.190","16","192.178.240.77","47","142.250.78.110","17","","","","","","","","","","","","","",""
"2025-10-28 14:45:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","154","True","70","Bom","165.225.214.105","29","165.225.214.3","19","8.243.34.13","24","*","0","8.243.145.162","24","*","0","192.178.253.66","21","192.178.84.58","48","209.85.249.17","63","","","","","","","","","","","","","",""
"2025-10-28 14:48:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","21","True","100","Excelente","165.225.214.105","19","165.225.214.3","20","8.243.34.13","18","200.189.212.154","21","8.243.145.162","19","*","0","108.170.248.6","27","172.253.66.189","22","142.251.255.13","25","","","","","","","","","","","","","",""
"2025-10-28 14:51:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","75","True","100","Excelente","165.225.214.105","26","165.225.214.3","19","8.243.34.13","18","*","0","8.243.145.162","21","*","0","192.178.110.180","20","142.251.253.67","34","142.251.255.53","17","","","","","","","","","","","","","",""
"2025-10-28 14:54:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","96","True","100","Excelente","165.225.214.105","27","165.225.214.3","23","8.243.34.13","17","200.189.212.154","30","8.243.145.162","20","*","0","192.178.253.74","46","209.85.251.13","18","192.178.84.179","20","","","","","","","","","","","","","",""
"2025-10-28 14:57:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","98","True","100","Excelente","165.225.214.105","31","165.225.214.3","30","8.243.34.13","44","200.189.213.6","26","8.243.145.162","29","*","0","108.170.238.180","21","","","","","","","","","","","","","","","","","",""
"2025-10-28 15:00:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","26","True","100","Excelente","165.225.214.105","17","165.225.214.3","44","8.243.34.13","23","*","0","8.243.145.162","22","*","0","192.178.240.76","18","209.85.251.82","17","172.217.29.78","20","","","","","","","","","","","","","",""
"2025-10-28 15:03:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","23","True","100","Excelente","165.225.214.105","22","165.225.214.3","19","8.243.34.13","19","*","0","8.243.145.162","19","*","0","108.170.248.12","19","192.178.240.101","23","216.239.62.65","18","172.217.29.78","20","","","","","","","","","","","",""
"2025-10-28 15:06:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","33","True","100","Excelente","165.225.214.105","26","165.225.214.3","25","8.243.34.13","19","*","0","8.243.145.162","22","*","0","192.178.110.174","19","192.178.240.101","23","172.217.29.78","20","","","","","","","","","","","","","",""
"2025-10-28 15:09:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","132","True","74","Bom","165.225.214.105","26","165.225.214.3","23","8.243.34.13","31","200.189.213.6","25","8.243.145.162","23","*","0","172.253.53.126","19","192.178.84.54","22","142.251.133.78","48","","","","","","","","","","","","","",""
"2025-10-28 15:12:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","87","True","100","Excelente","165.225.214.105","20","165.225.214.3","24","8.243.34.13","24","*","0","8.243.145.162","26","*","0","192.178.110.242","23","142.251.253.67","32","209.85.253.1","24","","","","","","","","","","","","","",""
"2025-10-28 15:15:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","76","True","100","Excelente","165.225.214.105","18","165.225.214.3","21","8.243.34.13","20","*","0","8.243.145.162","20","*","0","142.251.196.188","18","192.178.110.183","23","172.217.30.46","20","","","","","","","","","","","","","",""
"2025-10-28 15:18:00","ISAAC-NYK799D6XT","viniciussantos1","Bragança Paulista","SP","165.225.214.105","ZSCALER, INC.","165.225.214.105","meet.google.com","30","True","100","Excelente","165.225.214.105","26","165.225.214.3","21","8.243.34.13","23","*","0","8.243.145.162","18","*","0","72.14.237.56","22","142.251.252.158","28","216.239.59.19","23","172.217.30.46","19","","","","","","","","","","","",""
